name	id	task	input_format	output_format	n_layers	n_heads	d_model	params_total	params_nonembed	features	circuit_uses_attn_and_mlp	onehot_in_and_dist_out	is_trivial	comments
	110	Inserts zeros between each element, removing the latter half of the list.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	20	10853	10162	categorical only	yes	yes	False	bidir-attn; GOOD candidate
	13	Analyzes the trend (increasing, decreasing, constant) of numeric tokens.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	2	4	20	10525	10162	categorical only	yes	yes	False	eval-set(T10); bidir-attn; GOOD candidate
	19	Removes consecutive duplicate tokens from a sequence.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-15	per-pos categorical dist over 3 tokens	2	4	32	26343	25604	categorical only	yes	yes	False	eval-set(T10); GOOD candidate
	52	Takes the square root of each element.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	77	Apply the tangent function to each element of the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	85	Square each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	122	Check if each number is divisible by 3.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	836	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	43	Returns the corresponding Fibonacci number for each element in the input sequence.	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 19 tokens	2	4	4	881	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	51	Checks if each element is a Fibonacci number	one-hot tokens over vocab d_vocab=102 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	1116	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	40	Sum the last and previous to last digits of a number	one-hot tokens over vocab d_vocab=31 (+BOS/PAD); len 4-10	per-pos categorical dist over 12 tokens	2	4	4	882	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	53	Increment elements at odd indices by 1	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 12 tokens	2	4	4	810	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	49	Decrements each element in the sequence until it becomes a multiple of 3.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 4 tokens	2	4	4	770	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	66	Round each element in the input sequence to the nearest integer.	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 6 tokens	2	4	4	816	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	84	Apply the arctangent function to each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	95	Counts the distinct prime factors of each number in the input list.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	2	4	4	841	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	41	Make each element of the input sequence absolute	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	841	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	54	Applies the hyperbolic tangent to each element.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
